Class,TP,FP,FN,Purity,Yield,Recovery
cardboard,51,4,10,0.9273,0.8361,0.7846
glass,42,32,33,0.5676,0.56,0.3925
metal,31,25,31,0.5536,0.5,0.3563
paper,74,31,15,0.7048,0.8315,0.6167
plastic,45,27,27,0.625,0.625,0.4545
trash,12,6,9,0.6667,0.5714,0.4444
