feature,group,rf_mdi,rf_perm_mean,rf_perm_std,mlp_perm_mean,mlp_perm_std
H_bin0,H,0.015264477413610452,0.005203883274069154,0.004314002810330079,0.012407252009427801,0.006336486781184303
H_bin1,H,0.013608650350097513,0.007514419672937334,0.004584462890134075,0.0015320239640142805,0.00568195908040675
H_bin2,H,0.022496145063801945,0.02190842982984661,0.005118927298313922,0.011871592180918,0.007918196730114844
H_bin3,H,0.024922494573208068,0.009097126172535963,0.00606553098495462,0.016263375271383725,0.008162910730487803
H_bin4,H,0.012267308602897875,0.0010099141355069878,0.00420301022237482,0.010779096124497189,0.005210671625692555
H_bin5,H,0.007305079097658853,4.572656980795416e-05,0.003991790236617178,-0.002253707074027367,0.004384043451589552
H_bin6,H,0.006792649918407873,0.0024378503490498677,0.0032619779245025684,0.007186365835886096,0.0030431130721160697
H_bin7,H,0.006244857899560148,0.002644248490494631,0.0029226442911105444,0.007171037950152104,0.0034735366584911203
H_bin8,H,0.0055247729203888344,-0.000147116717820898,0.0025521965899754245,0.012390711668179151,0.004495770929974414
H_bin9,H,0.006604113424529219,0.0001548794266014397,0.0030603526986048204,0.004938756401354083,0.004399639025223285
H_bin10,H,0.007481085194043447,-0.004013542408348099,0.002415034982984939,0.0007740640366294219,0.0034617810157094382
H_bin11,H,0.00683901550429739,-0.004085015055730305,0.0027506418609022825,0.01714802304183657,0.006058320707158295
H_bin12,H,0.006256880455750201,-0.0019595732609458127,0.003986631648274256,0.0025297485172395126,0.0039965120057510834
H_bin13,H,0.007255693681473313,0.0023904455847044296,0.0035157788120360155,0.021189533839211818,0.006625365967540342
H_bin14,H,0.01700409717088307,0.0013222525969675547,0.003906507514285808,0.027279842747497948,0.009443776481995294
H_bin15,H,0.010039679420803312,0.005221277296619227,0.005592699520447191,0.014626279909097529,0.006721664497176725
H_bin16,H,0.005520490502949795,0.0023478000552478026,0.003843335447843514,0.005029233315170634,0.003991741295490685
H_bin17,H,0.0057588655145526324,0.0010852959004695813,0.002063684330506894,0.001206970040204151,0.004310337201639625
H_bin18,H,0.0069630904008849545,0.0044366751766205265,0.0038954406187373413,0.0020765402959621038,0.0032233830405286284
H_bin19,H,0.004883480383553167,0.0039780134229548255,0.003630224838326573,0.01078905259905037,0.003284159164220839
H_bin20,H,0.012967293795977277,0.0062122664052906675,0.0043270418769076795,0.0035454900739853392,0.003991146401648337
H_bin21,H,0.009026229394502198,0.0046727457756320775,0.0028573602949261688,0.0022792230348885113,0.003740203033492722
H_bin22,H,0.006854488868865976,0.006522414040638021,0.003747408656038727,0.009907774978551194,0.004341041143452614
H_bin23,H,0.0,0.0,0.0,0.0,0.0
H_bin24,H,0.0,0.0,0.0,0.0,0.0
H_bin25,H,0.0,0.0,0.0,0.0,0.0
H_bin26,H,0.0,0.0,0.0,0.0,0.0
H_bin27,H,0.0,0.0,0.0,0.0,0.0
H_bin28,H,0.0,0.0,0.0,0.0,0.0
H_bin29,H,0.0,0.0,0.0,0.0,0.0
H_bin30,H,0.0,0.0,0.0,0.0,0.0
H_bin31,H,0.0,0.0,0.0,0.0,0.0
S_bin0,S,0.016396483509290894,0.00969052406011303,0.005368439540157168,0.011946999537674478,0.0068235731457244285
S_bin1,S,0.012772256487171419,0.006093004597458218,0.005231082647771541,0.014498446548016726,0.007026301235681791
S_bin2,S,0.01674084537713288,0.007018053693777589,0.00443650843749375,0.038644926449350005,0.008037336101078464
S_bin3,S,0.011926658930440424,0.0034585731308730255,0.0047355271635502304,0.02438526442478871,0.006711839770612286
S_bin4,S,0.01097938996197285,0.005557490613932078,0.004109016468359235,0.004791355035583071,0.004654945290372922
S_bin5,S,0.010798927142040716,0.00814140593588584,0.003279119731705,0.0026677195797040827,0.005767823613560164
S_bin6,S,0.008675034515237389,-0.00029651099492703875,0.001886404144317632,0.007610339042304167,0.005331376042248525
S_bin7,S,0.007557606497578546,0.00041604617989247455,0.003228622227394886,0.0005861327043186353,0.004012618973983755
S_bin8,S,0.0072986947426735204,0.0011543708986176107,0.002748772369784701,0.0069310942950237915,0.0042416078760521125
S_bin9,S,0.007275688096946148,0.0010691784377713268,0.0027771141336252873,0.00653137331548355,0.0042611540132843385
S_bin10,S,0.009884880773959971,-4.038637137561881e-05,0.003373750444333292,0.005949709592193098,0.005767983268674145
S_bin11,S,0.00876212255037347,0.001465721389558572,0.002812969015097502,0.0018825614751938299,0.005875411183047098
S_bin12,S,0.008982989240389282,0.0014992165587029945,0.0046569782208453975,0.005008046388142843,0.005124414475823185
S_bin13,S,0.010032568154457593,0.005617636394345748,0.001973213255137428,0.009305104483294897,0.0057398672419022535
S_bin14,S,0.009393090101460992,0.006028603392512429,0.0032685246866981242,0.0033562262770942134,0.005375029972271187
S_bin15,S,0.010415408707329906,0.000962987052375693,0.0028127540817877343,0.0037918508911759003,0.0049333900141702
S_bin16,S,0.010068540343242997,-0.0009508748665328988,0.0030960165292442865,0.004357189150566773,0.0051844214709608335
S_bin17,S,0.0075860244988923235,0.008656398398316301,0.0035941074613877115,-0.00014137524662557097,0.0036310918695031218
S_bin18,S,0.006303251353419792,0.002717471197686968,0.0025805895742524237,-0.0010699861891795281,0.0023812553520003404
S_bin19,S,0.004471556828855491,0.0023204065563034227,0.002433080444364845,0.0008728667085207475,0.002295959298464247
S_bin20,S,0.004538015886149187,1.8404078788384717e-05,0.0024314244271448787,-0.0010490389318301597,0.0029611901841423206
S_bin21,S,0.0042829263891776825,0.0020094349206955854,0.003061614950305719,0.001732149743869201,0.0035698911147148136
S_bin22,S,0.004068386358684109,0.004299998595721096,0.0027452559876019493,0.0048226407963219385,0.004560486613914237
S_bin23,S,0.0036909610027855205,-0.0014036702603549094,0.0026017439541657036,0.0025752745335857288,0.003698066782703303
S_bin24,S,0.0037055008066630897,-0.0023178950933572065,0.0022606833894747015,-0.0005554842108899375,0.004877598344259751
S_bin25,S,0.004315509411925118,0.0016893997784921734,0.002573955674787965,0.0006387626931043556,0.005394268033361499
