Class,TP,FP,FN,Purity,Yield,Recovery
cardboard,58,0,3,1.0,0.9508,0.9508
glass,70,2,5,0.9722,0.9333,0.9091
metal,60,5,2,0.9231,0.9677,0.8955
paper,88,7,1,0.9263,0.9888,0.9167
plastic,68,4,4,0.9444,0.9444,0.8947
trash,17,1,4,0.9444,0.8095,0.7727
