Class,TP,FP,FN,Purity,Yield,Recovery
cardboard,50,4,11,0.9259,0.8197,0.7692
glass,48,31,27,0.6076,0.64,0.4528
metal,34,21,28,0.6182,0.5484,0.4096
paper,74,32,15,0.6981,0.8315,0.6116
plastic,46,23,26,0.6667,0.6389,0.4842
trash,10,7,11,0.5882,0.4762,0.3571
