Threshold,Flagged,Subset size,RF accuracy,MLP accuracy,CNN accuracy,CNN minus MLP,RF pair,MLP pair,CNN pair
1.0,0,380,0.7895,0.8053,0.95,0.1447,16,17,2
0.85,326,54,0.5185,0.6481,0.7407,0.0926,6,5,2
0.9,242,138,0.6667,0.6957,0.8696,0.1739,9,10,2
0.93,136,244,0.7336,0.75,0.9262,0.1762,14,16,2
0.95,51,329,0.7781,0.7933,0.9453,0.152,15,16,2
0.97,11,369,0.7886,0.8049,0.9512,0.1463,16,17,2
