Configuration,Batch size,Extraction ms/item,Classification ms/item,Classification std,Total ms/item,Items/min,Meets 1200/min
RF n_jobs=1,1,18.414182004053146,9.384721999522299,0.4343563195541668,27.798904003575444,2158.3584731355922,True
RF n_jobs=1,8,18.279277500405442,1.2175259995274246,0.04242176989715584,19.496803499932867,3077.427538324762,True
RF n_jobs=1,32,18.33485462491808,0.32061674988653976,0.006150632851592912,18.65547137480462,3216.2146318657888,True
RF n_jobs=1,128,18.254681953112595,0.09699948433990357,0.002306705867131744,18.3516814374525,3269.4551834117356,True
RF n_jobs=2,1,18.414182004053146,37.52003600355238,14.208045344517126,55.93421800760552,1072.6886356369841,False
RF n_jobs=2,8,18.279277500405442,4.025373250478879,0.7555904698400617,22.30465075088432,2690.0219452044616,True
RF n_jobs=2,32,18.33485462491808,1.1131752499204595,0.38337984989136187,19.44802987483854,3085.145404760344,True
RF n_jobs=2,128,18.254681953112595,0.3736298124931636,0.025717482960162363,18.62831176560576,3220.9037917639184,True
RF n_jobs=-1,1,18.414182004053146,36.170447994954884,9.748575027619713,54.58462999900803,1099.2105286981039,False
RF n_jobs=-1,8,18.279277500405442,4.536466249555815,1.4036248326947414,22.815743749961257,2629.763055613819,True
RF n_jobs=-1,32,18.33485462491808,1.077214750184794,0.2691077400783235,19.412069375102874,3090.8605796017578,True
RF n_jobs=-1,128,18.254681953112595,0.3815397655853303,0.04549511014603784,18.636221718697925,3219.5367121974805,True
MLP,1,18.414182004053146,0.2393819927237928,0.0427137391777795,18.65356399677694,3216.5434986240225,True
MLP,8,18.279277500405442,0.020586250175256282,0.006832192552495908,18.2998637505807,3278.7129356684995,True
MLP,32,18.33485462491808,0.008023624977795407,0.001189866498399987,18.342878249895875,3271.0242734310573,True
MLP,128,18.254681953112595,0.004531265622063074,0.0005806008369115871,18.259213218734658,3286.012342439689,True
